ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_PROFIL_01,Profil,—,TRIGGER,Quel est votre âge ?,Numérique,Années (18-80),ALWAYS,NEVER,AGE_STRATIFICATION,0.95,ACSM (2018) - Age-specific recommendations
Q_PROFIL_02,Profil,—,TRIGGER,Quel est votre sexe biologique ?,Choix unique,Homme | Femme,ALWAYS,NEVER,SEX_HORMONAL_CONTEXT,0.95,Sex differences in metabolism (Mauvais-Jarvis 2015)
Q_PROFIL_03,Profil,P8,TRIGGER,Depuis combien de temps pratiquez-vous un entraînement structuré de musculation/fitness ?,Choix unique,Jamais / Irrégulier | <6 mois | 6-12 mois | 12-18 mois | 18-36 mois | >36 mois,ALWAYS,NEVER,TRAINING_AGE,0.90,ACSM (2018) - Beginner/Intermediate/Advanced classification
Q_PROFIL_04,Profil,—,TRIGGER,Quel est votre objectif principal avec GENESIS ?,Choix unique,Perte de poids/graisse | Prise de masse musculaire | Recomposition (muscle + perte graisse) | Performance sportive | Optimisation santé/bien-être | Autre,ALWAYS,NEVER,GOAL_ORIENTATION,0.95,Self-Determination Theory (Ryan & Deci 2000)
Q_PROFIL_05,Profil,—,PRIMARY,Quel est votre poids actuel ?,Numérique,Kg (40-200),ALWAYS,NEVER,BASELINE_ANTHROPOMETRY,0.85,WHO BMI classification
Q_PROFIL_06,Profil,—,PRIMARY,Quelle est votre taille ?,Numérique,cm (140-220),ALWAYS,NEVER,BASELINE_ANTHROPOMETRY,0.85,WHO BMI classification
Q_PROFIL_07,Profil,P1,SECONDARY,Quel est votre tour de taille mesuré au niveau du nombril (en cm) ?,Numérique,cm (60-150),ALWAYS,NEVER,VISCERAL_ADIPOSITY,0.75,Waist circumference & metabolic risk (Despres & Lemieux 2006)
Q_PROFIL_08,Profil,P2,SECONDARY,Combien de programmes de transformation physique avez-vous déjà tenté dans le passé ?,Choix unique,0 (premier) | 1-2 | 3-4 | 5-7 | 8+,ALWAYS,NEVER,ADHERENCE_HISTORY,0.80,Teixeira et al. (2015) - Past adherence predicts future
Q_PROFIL_09,Profil,P5,PRIMARY,"Parmi ces programmes passés, combien avez-vous abandonné avant d'atteindre vos objectifs ?",Choix unique,0 | 1 | 2 | 3-4 | 5-6 | 7+,"IF Q_PROFIL_08 ≥ ""1-2""","IF Q_PROFIL_08 = ""0""",RC_ADH_01,0.88,Teixeira et al. (2015)
Q_PROFIL_10,Profil,P7,PRIMARY,Combien d'heures par semaine pouvez-vous RÉALISTEMENT consacrer à l'entraînement (trajet inclus) ?,Choix unique,<2h | 2-3h | 3-4h | 4-5h | 5-6h | 6h+,ALWAYS,NEVER,RC_ENV_02,0.85,WHO Social Determinants Framework
Q_PROFIL_11,Profil,—,TRIGGER,Avez-vous des conditions médicales diagnostiquées ou traitements en cours ?,Choix multiple,Aucune | Diabète type 2 | Pré-diabète | Hypertension | Hypothyroïdie | Hyperthyroïdie | SOPK | Troubles alimentaires (actuels/passés) | Dépression/Anxiété (traitement) | Autre,ALWAYS,NEVER,MEDICAL_CONTEXT,0.95,Medical clearance (ACSM 2018)
Q_PROFIL_12,Profil,—,TRIGGER,[FEMMES] Êtes-vous actuellement ?,Choix unique,Cycles menstruels réguliers | Cycles irréguliers | Aménorrhée (absence règles) | Enceinte | Post-partum (<12 mois) | Allaitement | Péri-ménopause | Ménopause | Post-ménopause,"IF Q_PROFIL_02 = ""Femme""","IF Q_PROFIL_02 = ""Homme""",FEMALE_HORMONAL_STATUS,0.90,Female Athlete Triad (De Souza et al. 2014)
Q_PROFIL_13,Profil,—,TRIGGER,[FEMMES] Prenez-vous actuellement une contraception hormonale ?,Choix unique,Non | Oui - Pilule combinée | Oui - Pilule progestative | Oui - Stérilet hormonal | Oui - Implant | Oui - Autre,"IF Q_PROFIL_02 = ""Femme"" AND Q_PROFIL_12 NOT IN [""Enceinte"",""Allaitement"",""Ménopause"",""Post-ménopause""]","IF Q_PROFIL_02 = ""Homme"" OR Q_PROFIL_12 IN [""Enceinte"",""Ménopause""]",HORMONAL_CONTRACEPTION_CONTEXT,0.65,Contraception & metabolism (Lopez et al. 2016)
Q_PROFIL_14,Profil,P3,SECONDARY,Quelle est votre profession ou situation actuelle ?,Choix unique,"Sédentaire (bureau/écran 6h+/jour) | Actif debout (commerçant, enseignant...) | Physique modéré (infirmier, serveur...) | Physique intense (ouvrier, sportif pro...) | Étudiant | Sans emploi | Retraité | Autre",ALWAYS,NEVER,OCCUPATIONAL_PHYSICAL_ACTIVITY,0.70,NEAT (Levine 2002)
Q_PROFIL_15,Profil,P3,SECONDARY,Comment décririez-vous votre niveau de stress professionnel/études ?,Échelle 1-10,1 = Très faible stress | 10 = Stress extrême insoutenable,"IF Q_PROFIL_14 IN [""Sédentaire"",""Actif debout"",""Étudiant""]","IF Q_PROFIL_14 IN [""Sans emploi"",""Retraité""]",OCCUPATIONAL_STRESS,0.75,Job strain & health (Kivimaki et al. 2012)
