ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_MET_01,Métabolique,P1,PRIMARY,Comment décririez-vous votre niveau d'énergie général 1-2 heures APRÈS un repas standard ?,Échelle 1-10,"1 = Épuisement complet, besoin urgent sieste | 10 = Énergie excellente, totalement alerte",ALWAYS,NEVER,RC_MET_01,0.90,"Postprandial fatigue (Benton & Parker 1998), Glycemic variability (Monnier et al. 2008)"
Q_MET_02,Métabolique,P1,PRIMARY,À quelle fréquence ressentez-vous des fringales ou une faim intense ENTRE les repas ?,Choix unique,Jamais ou très rare | 1-2 fois/semaine | 3-4 fois/semaine | Quotidiennement | Plusieurs fois par jour,ALWAYS,NEVER,RC_MET_01,0.85,Hunger hormones dysregulation (Cummings & Overduin 2007)
Q_MET_03,Métabolique,P1,PRIMARY,Comment votre poids a-t-il évolué au cours des 12 derniers mois (sans effort conscient de changement) ?,Choix unique,Stable (±2kg) | Augmentation progressive 2-5kg | Augmentation marquée 5-10kg | Augmentation >10kg | Perte progressive 2-5kg | Perte marquée >5kg | Fluctuations yo-yo (≥5kg variance),ALWAYS,NEVER,RC_MET_01,0.80,Weight variability & metabolic dysfunction (Montani et al. 2006)
Q_MET_04,Métabolique,P1,SECONDARY,À quelle fréquence vous réveillez-vous avec une faim intense ou un besoin urgent de manger ?,Choix unique,Jamais | Rare (<1x/semaine) | Occasionnel (1-2x/semaine) | Fréquent (3-4x/semaine) | Quotidien,ALWAYS,NEVER,RC_MET_01,0.70,Nocturnal hypoglycemia (Cryer 2013)
Q_MET_05,Métabolique,P1,SECONDARY,"Ressentez-vous des symptômes de type ""brouillard mental"" ou difficulté concentration avant les repas ?",Échelle 1-10,"1 = Jamais, concentration excellente | 10 = Très fréquent, concentration impossible",ALWAYS,NEVER,RC_MET_01,0.75,Brain glucose sensing (Steinbusch et al. 2015)
Q_MET_01a,Métabolique,P1,SECONDARY,[DEEP DIVE] Quel(s) type(s) de repas provoquent le plus souvent ce crash énergétique ?,Choix multiple,"Petit-déjeuner glucidique (céréales, pain, confiture...) | Déjeuner riche en glucides (pâtes, riz, sandwich...) | Dîner copieux | Tous les repas | Aucun pattern clair",IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.85,Meal composition & glycemic response (Jenkins et al. 1981)
Q_MET_01b,Métabolique,P1,SECONDARY,[DEEP DIVE] Combien de temps APRÈS le repas survient généralement ce crash énergétique ?,Choix unique,15-30 minutes | 30-60 minutes | 1-2 heures | 2-3 heures | Variable/imprévisible,IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.80,Postprandial glycemic patterns (Monnier et al. 2008)
Q_MET_01c,Métabolique,P1,SECONDARY,[DEEP DIVE] Quels symptômes accompagnent ce crash énergétique ?,Choix multiple,Somnolence/besoin sieste | Irritabilité marquée | Fringales intenses | Brouillard mental/concentration difficile | Tremblements légers | Transpiration | Maux de tête | Aucun autre symptôme,IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.75,Hypoglycemic symptoms (Cryer 2013)
Q_MET_01d,Métabolique,P1,PRIMARY,[DEEP DIVE] Avez-vous remarqué une amélioration de votre énergie post-prandiale lorsque vous augmentez les protéines dans vos repas ?,Choix unique,"Oui, amélioration très notable | Oui, légère amélioration | Pas de différence perceptible | N'ai jamais testé consciemment",IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.85,Protein & glycemic control (Pasiakos et al. 2015)
Q_MET_01e,Métabolique,P1,SECONDARY,[DEEP DIVE] Une activité physique légère (marche 10-15min) après le repas améliore-t-elle votre énergie ?,Choix unique,"Oui, nettement | Oui, légèrement | Non, aucun effet | Rend les choses pires | N'ai jamais testé",IF Q_MET_01 ≤ 4,IF Q_MET_01 > 4,RC_MET_01,0.70,Postprandial walking & glucose (Colberg et al. 2009)
