ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_REC_01,Hormono-Récupération,P3,PRIMARY,"Au cours du dernier mois, comment évalueriez-vous votre niveau de stress GLOBAL (vie personnelle + professionnelle + santé) ?",Échelle 1-10,"1 = Aucun stress, totalement serein | 10 = Stress extrême insoutenable, au bord du burnout",ALWAYS,NEVER,RC_REC_01,0.95,"PSS-10 (Cohen et al. 1983), Chronic stress & HPA (McEwen 2007)"
Q_REC_02,Hormono-Récupération,P3,PRIMARY,"Au cours du dernier mois, à quelle fréquence avez-vous été contrarié(e) par un événement inattendu ?",Choix unique,Jamais | Presque jamais | Parfois | Assez souvent | Très souvent,ALWAYS,NEVER,RC_REC_01,0.75,4_STRESS_P3_HPA_AXIS
Q_REC_03,Hormono-Récupération,P3,PRIMARY,"Au cours du dernier mois, à quelle fréquence avez-vous senti que vous étiez incapable de contrôler les choses importantes de votre vie ?",Choix unique,Jamais | Presque jamais | Parfois | Assez souvent | Très souvent,ALWAYS,NEVER,RC_REC_01,0.80,"PSS-10 Item 2 (Cohen et al. 1983), Locus of control"
Q_REC_04,Hormono-Récupération,P3,PRIMARY,"Au cours du dernier mois, à quelle fréquence vous êtes-vous senti(e) nerveux/nerveuse et ""stressé(e)"" ?",Choix unique,Jamais | Presque jamais | Parfois | Assez souvent | Très souvent,ALWAYS,NEVER,RC_REC_01,0.85,PSS-10 Item 3 (Cohen et al. 1983)
Q_REC_05,Hormono-Récupération,P3,SECONDARY,"Au cours du dernier mois, à quelle fréquence avez-vous été contrarié(e) par des choses qui échappaient à votre contrôle ?",Choix unique,Jamais | Presque jamais | Parfois | Assez souvent | Très souvent,ALWAYS,NEVER,RC_REC_01,0.75,PSS-10 Item 4 (Cohen et al. 1983)
Q_REC_06,Hormono-Récupération,P3,SECONDARY,"Au cours du dernier mois, à quelle fréquence avez-vous senti que les difficultés s'accumulaient tellement que vous ne pouviez pas les surmonter ?",Choix unique,Jamais | Presque jamais | Parfois | Assez souvent | Très souvent,ALWAYS,NEVER,RC_REC_01,0.85,"PSS-10 Item 10 (Cohen et al. 1983), Overwhelm indicator"
Q_REC_07,Hormono-Récupération,P3,SECONDARY,Depuis combien de temps ressentez-vous ce niveau de stress ?,Choix unique,<1 mois (récent/ponctuel) | 1-3 mois | 3-6 mois | 6-12 mois | 1-2 ans | >2 ans (chronique),IF Q_REC_01 >= 6,IF Q_REC_01 < 6,RC_REC_01,0.90,Chronic stress duration & HPA dysregulation (McEwen 2007)
Q_REC_08,Hormono-Récupération,P3,PRIMARY,Quelle(s) est/sont la/les source(s) principale(s) de votre stress actuel ?,Choix multiple,"Professionnel (charge travail, pression...) | Financier | Relationnel (couple, famille...) | Santé (moi ou proche) | Objectifs physiques (pression performance/image) | Isolement social | Incertitude avenir | Autre | Pas de stress majeur",IF Q_REC_01 >= 5,IF Q_REC_01 < 5,RC_REC_01,0.85,Stressor classification (Lazarus & Folkman 1984)
Q_REC_09,Hormono-Récupération,P3,SECONDARY,Avez-vous des stratégies actives de gestion du stress que vous pratiquez régulièrement ?,Choix multiple,Méditation/pleine conscience | Activité physique régulière | Thérapie/psychologue | Techniques respiration | Journaling | Temps nature régulier | Socialisation active | Hobbies/passions | Aucune stratégie active,IF Q_REC_01 >= 6,IF Q_REC_01 < 6,RC_REC_01,0.80,Coping strategies (Folkman & Moskowitz 2004)
Q_REC_01a,Hormono-Récupération,P3,SECONDARY,"[DEEP DIVE] Ressentez-vous une sensation de ""ne jamais pouvoir éteindre votre cerveau"" ou être constamment en alerte ?",Échelle 1-10,"1 = Jamais, déconnexion facile | 10 = Constamment, hypervigilance permanente",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.88,Hyperarousal & HPA axis (McEwen & Stellar 1993)
Q_REC_01b,Hormono-Récupération,P3,SECONDARY,"[DEEP DIVE] Avez-vous des difficultés à vous ""détendre vraiment"" même pendant vos moments libres/vacances ?",Choix unique,"Non, détente facile | Oui, quelques jours nécessaires | Oui, impossible vraiment | N'ai pas eu de pause récente",IF Q_REC_01 >= 7,IF Q_REC_01 < 7,RC_REC_01,0.85,Recovery inability (Sonnentag & Fritz 2007)
