ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_ADH_01,Psycho-Adhérence,P5,PRIMARY,RAPPEL Q_PROFIL_09 : Combien de programmes avez-vous abandonnés avant objectifs ? (Référence croisée),Référence,Voir Q_PROFIL_09,ALWAYS,NEVER,RC_ADH_01,0.90,Teixeira et al. (2015) - Past adherence predicts future
Q_ADH_01a,Psycho-Adhérence,P5,SECONDARY,[DEEP DIVE] Quelle était la durée moyenne de ces programmes avant abandon ?,Choix unique,N/A - pas d'abandons | <2 semaines | 2-4 semaines | 1-2 mois | 2-3 mois | 3-6 mois | >6 mois,"IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",RC_ADH_01,0.80,Adherence timeline patterns (Marcus et al. 2000)
Q_ADH_01b,Psycho-Adhérence,P5,PRIMARY,[DEEP DIVE] Quelle(s) raison(s) principale(s) à vos abandons passés ?,Choix multiple,N/A - pas d'abandons | Manque temps/contraintes vie | Programmes trop complexes/contraignants | Résultats trop lents/inexistants | Blessure/douleur | Perte motivation | Événement vie stressant | Ennui/monotonie | Objectifs atteints | Autre,"IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",RC_ADH_01,0.88,Dropout reasons (Teixeira et al. 2012)
Q_ADH_01c,Psycho-Adhérence,P5,SECONDARY,[DEEP DIVE] Ces abandons se sont-ils produits de manière brutale (arrêt soudain) ou progressive (diminution graduelle) ?,Choix unique,N/A - pas d'abandons | Arrêt brutal systématiquement | Mix brutal/progressif | Diminution progressive généralement,"IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",RC_ADH_01,0.72,Dropout patterns (Dishman 1988)
Q_ADH_01d,Psycho-Adhérence,P5,SECONDARY,"[DEEP DIVE] Après ces abandons, avez-vous repris un programme dans les 3-6 mois ou pause longue ?",Choix unique,N/A - pas d'abandons | Reprise rapide (<3 mois) | Pause moyenne (3-6 mois) | Pause longue (6-12 mois) | Pause très longue (>12 mois),"IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",RC_ADH_01,0.68,Exercise relapse patterns (Marcus et al. 2000)
Q_ADH_01e,Psycho-Adhérence,P5,SECONDARY,[DEEP DIVE] Ressentez-vous de la culpabilité/honte face à vos abandons passés ?,Échelle 1-10,"1 = Aucune culpabilité, acceptation | 10 = Culpabilité/honte énorme","IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",RC_ADH_01,0.75,Shame & self-efficacy (Dickerson et al. 2004)
Q_ADH_01f,Psycho-Adhérence,"P5,P6",PRIMARY,"[DEEP DIVE] Ces programmes passés impliquaient-ils un tracking de nombreuses variables (calories, macros, steps, performance...) ?",Numérique,Nombre variables trackées (0-20),"IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",RC_ADH_01,0.85,Complexity & adherence (Sweller et al. 2011 - Cognitive Load)
Q_ADH_01g,Psycho-Adhérence,P5,SECONDARY,[DEEP DIVE] Aviez-vous un coach/accompagnement ou programmes en autonomie totale ?,Choix unique,N/A - pas de programmes | Coach en personne | Coach en ligne | Programmes seuls (apps/livres) | Mix,"IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",SOCIAL_SUPPORT,0.78,Coaching & adherence (Teixeira et al. 2012)
Q_ADH_01h,Psycho-Adhérence,P5,SECONDARY,[DEEP DIVE] Les programmes abandonnés avaient-ils une flexibilité intégrée (Plan B si imprévu) ou rigidité stricte ?,Choix unique,N/A - pas de programmes | Très flexibles (adaptations faciles) | Moyennement flexibles | Rigides (tout ou rien) | Ne me rappelle pas,"IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",RC_ADH_01,0.82,Flexibility & adherence (Teixeira et al. 2015)
Q_ADH_01i,Psycho-Adhérence,P5,SECONDARY,"[DEEP DIVE] Aviez-vous des objectifs clairs, mesurables, avec échéances ou objectifs vagues ?",Choix unique,"N/A - pas de programmes | Objectifs SMART clairs | Objectifs moyennement définis | Objectifs vagues (""être en forme"") | Pas d'objectifs précis","IF Q_PROFIL_09 >= ""1""","IF Q_PROFIL_09 = ""0""",RC_ADH_01,0.75,Goal setting theory (Locke & Latham 2002)
Q_ADH_01j,Psycho-Adhérence,P5,SECONDARY,"[DEEP DIVE] Lorsque vous ""trébuchez"" (écart programme), que faites-vous généralement ?",Choix unique,Reprends immédiatement sans culpabilité | Reprends avec légère frustration | Compensation stricte (restriction/surentraînement) | Spirale négative → abandon complet | Variable selon humeur,ALWAYS,NEVER,RC_ADH_01,0.88,Lapse vs relapse (Marlatt & Gordon 1985)
Q_ADH_01k,Psycho-Adhérence,P5,SECONDARY,Avez-vous déjà réussi à maintenir un programme d'entraînement/nutrition >6 mois avec succès ?,Choix unique,"Oui, plusieurs fois | Oui, une fois | Non, jamais dépassé 6 mois | N'ai jamais essayé sérieusement",ALWAYS,NEVER,RC_ADH_01,0.85,Long-term adherence (>6mo) as success predictor (Teixeira et al. 2015)
Q_ADH_01l,Psycho-Adhérence,P5,SECONDARY,[Si succès >6 mois] Qu'est-ce qui a rendu ce programme différent/réussi comparé aux autres ?,Choix multiple,N/A - jamais réussi | Simplicité du programme | Soutien social/coach | Plaisir activités | Résultats rapides visibles | Flexibilité intégrée | Alignement valeurs personnelles | Autre,"IF Q_ADH_01k IN [""Oui, plusieurs fois"",""Oui, une fois""]","IF Q_ADH_01k NOT IN [""Oui, plusieurs fois"",""Oui, une fois""]",SUCCESS_FACTORS,0.90,Success patterns identification (Teixeira et al. 2015)
Q_ADH_01m,Psycho-Adhérence,P5,SECONDARY,Comment réagissez-vous face à un plateau (stagnation résultats malgré efforts) ?,Choix unique,"Patience, ajuste stratégie calmement | Frustration mais continue | Frustration → intensification efforts (surtraining/restriction) | Découragement → abandon | Variable",ALWAYS,NEVER,RC_ADH_01,0.82,Plateau tolerance (Byrne et al. 2006)
Q_ADH_15,Psycho-Adhérence,P5,PRIMARY,Je peux toujours résoudre des problèmes difficiles si je fais suffisamment d'efforts.,Échelle 1-4,1 = Pas du tout vrai | 2 = À peine vrai | 3 = Modérément vrai | 4 = Tout à fait vrai,ALWAYS,NEVER,SELF_EFFICACY,0.80,GSE Item 1 (Schwarzer & Jerusalem 1995)
