ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_ADH_46,Psycho-Adhérence,P6,PRIMARY,Je dois toujours faire les choses parfaitement ou je me sens insatisfait(e).,Échelle 1-10,1 = Pas du tout vrai | 10 = Totalement vrai,ALWAYS,NEVER,RC_ADH_01,0.90,Frost Multidimensional Perfectionism - Personal Standards (Frost et al. 1990)
Q_ADH_47,Psycho-Adhérence,P6,SECONDARY,Je suis très critique envers moi-même lorsque je fais des erreurs.,Échelle 1-10,1 = Pas du tout vrai | 10 = Totalement vrai,ALWAYS,NEVER,RC_ADH_01,0.85,Frost - Concern over Mistakes (Frost et al. 1990)
Q_ADH_48,Psycho-Adhérence,P6,SECONDARY,"Si je ne fais pas aussi bien que les autres, cela signifie que je suis moins bon(ne) en tant que personne.",Échelle 1-10,1 = Pas du tout vrai | 10 = Totalement vrai,ALWAYS,NEVER,RC_ADH_01,0.82,Frost - Parental Expectations (Frost et al. 1990)
Q_ADH_49,Psycho-Adhérence,P6,SECONDARY,Je doute souvent de la qualité de mon travail/efforts même quand les résultats sont bons.,Échelle 1-10,1 = Jamais | 10 = Constamment,ALWAYS,NEVER,RC_ADH_01,0.78,Frost - Doubts about Actions (Frost et al. 1990)
Q_ADH_50,Psycho-Adhérence,P6,SECONDARY,J'ai l'impression que mes parents (ou figures autorité) n'ont jamais été satisfaits de mes performances.,Échelle 1-10,1 = Pas du tout vrai | 10 = Totalement vrai,ALWAYS,NEVER,RC_ADH_01,0.70,Frost - Parental Criticism (Frost et al. 1990)
Q_ADH_51,Psycho-Adhérence,P6,PRIMARY,"Lorsque je fais un écart alimentaire ou rate une séance training, j'ai du mal à accepter que ce n'est ""pas grave"".",Échelle 1-10,"1 = Acceptation facile, pas grave | 10 = Culpabilité énorme, sentiment échec",ALWAYS,NEVER,RC_ADH_01,0.88,All-or-nothing thinking (Beck 1979)
Q_ADH_52,Psycho-Adhérence,P6,PRIMARY,"Adoptez-vous une mentalité ""tout ou rien"" (si parfait OK, sinon abandon complet) ?",Échelle 1-10,"1 = Non, nuances/gris acceptable | 10 = Oui, tout ou rien absolu",ALWAYS,NEVER,RC_ADH_01,0.90,Dichotomous thinking (Byrne et al. 2003)
Q_ADH_52a,Psycho-Adhérence,P6,SECONDARY,Avez-vous des standards/attentes TRÈS élevés pour vous-même (comparé à ce que vous attendriez d'autrui) ?,Échelle 1-10,"1 = Non, standards similaires pour tous | 10 = Oui, standards bien plus élevés pour moi",ALWAYS,NEVER,RC_ADH_01,0.82,Self-oriented perfectionism (Hewitt & Flett 1991)
Q_ADH_52b,Psycho-Adhérence,P6,SECONDARY,"Ressentez-vous que vous ""devriez"" être capable de tout faire parfaitement dès la première fois ?",Échelle 1-10,"1 = Non, processus apprentissage normal | 10 = Oui, devrais être parfait immédiatement",ALWAYS,NEVER,RC_ADH_01,0.78,Unrealistic expectations (Ellis 1962 - REBT)
Q_ADH_52c,Psycho-Adhérence,P6,SECONDARY,"Avez-vous déjà été diagnostiqué(e) ou suspecté(e) d'un trouble alimentaire (anorexie, boulimie, orthorexie...) ?",Choix unique,"Non, jamais | Oui, diagnostiqué actuellement | Oui, diagnostiqué passé (rémission) | Suspicion mais pas diagnostiqué | Préfère ne pas répondre",ALWAYS,NEVER,EATING_DISORDER_SCREENING,0.95,ED screening critical (Fairburn & Harrison 2003)
