ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_ENV_01,Environnement,P7,PRIMARY,RAPPEL Q_PROFIL_10 : Heures/semaine disponibles training (Référence),Référence,Voir Q_PROFIL_10,ALWAYS,NEVER,RC_ENV_02,0.90,Time availability & adherence (Trost et al. 2002)
Q_ENV_02,Environnement,P7,SECONDARY,Cette disponibilité est-elle stable/prévisible ou très variable semaine à semaine ?,Choix unique,Très stable (même horaires chaque semaine) | Stable avec variations mineures | Variable modérée | Très variable/imprévisible | Chaotique,ALWAYS,NEVER,RC_ENV_01,0.85,Schedule stability & adherence (Marcus et al. 2000)
Q_ENV_03,Environnement,P7,SECONDARY,"Combien de fois par mois vos plans training/nutrition sont-ils perturbés par imprévus (voyages, urgences, événements...) ?",Numérique,Nombre perturbations/mois (0-30),ALWAYS,NEVER,RC_ENV_01,0.82,Disruption frequency (Teixeira et al. 2015)
Q_ENV_04,Environnement,P7,SECONDARY,Avez-vous accès à une salle de sport/équipement training ?,Choix unique,Salle sport abonnement illimité | Salle accès limité (horaires/jours) | Home gym équipé | Équipement minimal maison | Aucun équipement (bodyweight),ALWAYS,NEVER,TRAINING_ACCESS,0.75,Environmental barriers (Trost et al. 2002)
Q_ENV_05,Environnement,P7,PRIMARY,"Combien de personnes dépendent de vous au quotidien (enfants, parents âgés, autres) ?",Numérique,Nombre personnes dépendantes (0-10),ALWAYS,NEVER,RC_ENV_01,0.88,Caregiving burden (Pinquart & Sörensen 2003)
Q_ENV_06,Environnement,P7,SECONDARY,[Si dépendants] Quelle est l'intensité de cette charge (temps quotidien consacré) ?,Choix unique,N/A - pas de dépendants | Légère (<2h/jour) | Modérée (2-4h/jour) | Importante (4-8h/jour) | Très importante (>8h/jour),IF Q_ENV_05 >= 1,IF Q_ENV_05 = 0,RC_ENV_01,0.85,Caregiving time burden (Pinquart & Sörensen 2003)
Q_ENV_07,Environnement,P7,PRIMARY,Combien d'heures travaillez-vous par semaine (job principal + side hustles) ?,Numérique,Heures/semaine (0-100),"IF Q_PROFIL_14 NOT IN [""Sans emploi"",""Retraité""]","IF Q_PROFIL_14 IN [""Sans emploi"",""Retraité""]",RC_ENV_01,0.82,Work hours & exercise time (Burton & Turrell 2000)
Q_ENV_08,Environnement,P7,SECONDARY,Temps de trajet quotidien domicile-travail (aller-retour) ?,Choix unique,N/A - télétravail/retraité | <30min | 30-60min | 1-2h | 2-3h | >3h,"IF Q_PROFIL_14 NOT IN [""Sans emploi"",""Retraité""]","IF Q_PROFIL_14 IN [""Sans emploi"",""Retraité""]",RC_ENV_01,0.72,Commute time & health behaviors (Hoehner et al. 2012)
Q_ENV_09,Environnement,P7,SECONDARY,Voyagez-vous fréquemment pour le travail/obligations (déplacements professionnels) ?,Choix unique,Jamais | Rare (<1x/mois) | Occasionnel (1-2x/mois) | Fréquent (1x/semaine) | Très fréquent (plusieurs/semaine),ALWAYS,NEVER,RC_ENV_03,0.80,Business travel & routine disruption (DeFrank et al. 2000)
Q_ENV_10,Environnement,P7,SECONDARY,"Avez-vous des horaires de travail atypiques (nuit, shifts, weekends obligatoires) ?",Choix unique,"Non, horaires classiques | Oui, shifts rotatifs | Oui, nuit fixe | Oui, weekends systématiques | Très variable","IF Q_PROFIL_14 NOT IN [""Sans emploi"",""Retraité""]","IF Q_PROFIL_14 IN [""Sans emploi"",""Retraité""]",RC_REC_03,0.78,Shift work & health (Kecklund & Axelsson 2016)
