ID_Question,Dimension,Pattern(s),Rôle,Question,Type_Réponse,Options,Trigger_Condition,Skip_Condition,Root_Cause_Link,Impact_Score,Référence_Scientifique
Q_STM_01,Stimulus,P8,PRIMARY,[Si training actuel] Combien de séances d'entraînement effectuez-vous par semaine ACTUELLEMENT ?,Numérique,Séances/semaine (0-14),"IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",TRAINING_FREQUENCY,0.85,Training frequency (ACSM 2018)
Q_STM_02,Stimulus,P8,PRIMARY,[Si training actuel] Combien de séries totales par groupe musculaire effectuez-vous par semaine (estimation) ?,Numérique,Séries/groupe/semaine (0-50),"IF Q_PROFIL_03 IN [""6-12 mois"",""12-18 mois"",""18-36 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN [""6-12 mois"",""12-18 mois"",""18-36 mois"","">36 mois""]",RC_STM_01,0.90,Volume landmarks (Schoenfeld et al. 2017) - 10-20 sets/muscle/week hypertrophy
Q_STM_03,Stimulus,P8,SECONDARY,[Si training actuel] Quelle est la durée moyenne de vos séances ?,Choix unique,N/A - pas training | <30min | 30-45min | 45-60min | 60-90min | 90-120min | >120min,"IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",SESSION_DURATION,0.70,Session duration efficiency (Schoenfeld et al. 2019)
Q_STM_04,Stimulus,P8,PRIMARY,[Si training actuel] Comment évalueriez-vous l'intensité moyenne de vos entraînements (RPE - Rate of Perceived Exertion) ?,Échelle 1-10,"1 = Très facile, quasi aucun effort | 10 = Maximal absolu, échec chaque série","IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",TRAINING_INTENSITY,0.88,"RPE scale (Borg 1982), Training intensity & adaptation"
Q_STM_05,Stimulus,P8,SECONDARY,[Si training actuel] Quel type d'entraînement pratiquez-vous principalement ?,Choix multiple,"N/A - pas training | Musculation/résistance | HIIT/circuits | Cardio steady-state | Crossfit/fonctionnel | Sports (running, natation...) | Yoga/Pilates | Autre","IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",TRAINING_MODALITY,0.75,Training modality specificity (Kraemer et al. 2002)
Q_STM_06,Stimulus,P8,SECONDARY,[Si musculation] Quelle est votre structure d'entraînement actuelle ?,Choix unique,N/A - pas musculation | Full-body 2-3x/sem | Upper/Lower split | Push/Pull/Legs | Bro split (1 muscle/jour) | Autre | Aucune structure claire,"IF Q_STM_05 contains ""Musculation""","IF Q_STM_05 NOT contains ""Musculation""",TRAINING_SPLIT,0.78,Training splits (Schoenfeld et al. 2019)
Q_STM_07,Stimulus,P8,PRIMARY,"[Si training actuel] Progressez-vous régulièrement (charge, reps, volume) ou stagnation ?",Choix unique,N/A - pas training | Progression régulière | Progression lente | Stagnation (<3 mois) | Stagnation longue (3-6 mois) | Régression,"IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",RC_STM_02,0.90,Progressive overload principle (ACSM 2009)
Q_STM_08,Stimulus,P8,SECONDARY,"[Si training actuel] Trackez-vous vos performances (poids soulevés, reps, charge totale) ?",Choix unique,"N/A - pas training | Oui, systématiquement chaque série | Oui, principales séries seulement | Occasionnellement | Non, jamais","IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",PERFORMANCE_TRACKING,0.75,Training log & progression (Peterson et al. 2004)
Q_STM_09,Stimulus,P8,SECONDARY,[Si training actuel] Intégrez-vous des semaines de deload (réduction volume/intensité planifiée) ?,Choix unique,"N/A - pas training | Oui, régulièrement (toutes 4-6 sem) | Oui, quand fatigue | Rare | Jamais, training continu","IF Q_PROFIL_03 IN [""12-18 mois"",""18-36 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN [""12-18 mois"",""18-36 mois"","">36 mois""]",DELOAD_PRACTICE,0.82,Deload necessity (Rhea et al. 2003)
Q_STM_10,Stimulus,P8,SECONDARY,[Si training actuel] Ressentez-vous du plaisir/satisfaction pendant vos entraînements ?,Échelle 1-10,"1 = Aucun plaisir, corvée totale | 10 = Énorme plaisir, highlight de la journée","IF Q_PROFIL_03 != ""Jamais / Irrégulier""","IF Q_PROFIL_03 = ""Jamais / Irrégulier""",TRAINING_ENJOYMENT,0.85,Exercise enjoyment & adherence (Rhodes et al. 2009)
Q_STM_11,Stimulus,P8,SECONDARY,[INTERMÉDIAIRE+] Utilisez-vous une périodisation structurée (blocs hypertrophie/force/puissance) ?,Choix unique,"N/A - débutant | Oui, périodisation planifiée | Oui, intuitive/auto-régulée | Non, training linéaire continu | Ne sais pas ce que c'est","IF Q_PROFIL_03 IN [""6-12 mois"",""12-18 mois"",""18-36 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN [""6-12 mois"",""12-18 mois"",""18-36 mois"","">36 mois""]",PERIODIZATION,0.80,Periodization models (Rhea et al. 2003)
Q_STM_12,Stimulus,P8,SECONDARY,[INTERMÉDIAIRE+] Utilisez-vous le concept RIR (Reps In Reserve - reps restantes avant échec) ?,Choix unique,"N/A - débutant | Oui, systématiquement | Oui, occasionnellement | Non, pousse à échec systématique | Ne sais pas ce que c'est","IF Q_PROFIL_03 IN [""12-18 mois"",""18-36 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN [""12-18 mois"",""18-36 mois"","">36 mois""]",RIR_USAGE,0.85,"RIR & autoregulation (Helms et al. 2016, Zourdos et al. 2016)"
Q_STM_13,Stimulus,P8,SECONDARY,"[AVANCÉ] Variez-vous les gammes de répétitions selon phases (force 1-5 reps, hypertrophie 6-12, endurance 12+) ?",Choix unique,"N/A - débutant/intermédiaire | Oui, variation périodisée | Oui, variation intuitive | Non, gamme fixe | Mix non structuré","IF Q_PROFIL_03 IN ["">18 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN ["">18 mois"","">36 mois""]",REP_RANGE_VARIATION,0.75,Rep ranges & hypertrophy (Schoenfeld et al. 2017)
Q_STM_14,Stimulus,P8,SECONDARY,"[AVANCÉ] Utilisez-vous des techniques d'intensification (drop sets, rest-pause, supersets, tempo...) ?",Choix multiple,N/A - débutant | Drop sets | Rest-pause | Supersets/circuits | Tempo contrôlé | Clusters | Aucune technique avancée,"IF Q_PROFIL_03 IN ["">18 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN ["">18 mois"","">36 mois""]",INTENSIFICATION_TECHNIQUES,0.72,Intensification techniques (Schoenfeld 2011)
Q_STM_15,Stimulus,P8,SECONDARY,[AVANCÉ] Ajustez-vous votre volume/intensité en fonction de votre récupération (auto-régulation) ?,Choix unique,"N/A - débutant | Oui, systématiquement (HRV, RPE, performance) | Oui, intuitivement | Non, programme fixe strict","IF Q_PROFIL_03 IN ["">18 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN ["">18 mois"","">36 mois""]",AUTOREGULATION,0.88,Autoregulation (Mann et al. 2010)
Q_STM_16,Stimulus,P8,SECONDARY,"[AVANCÉ] Connaissez-vous vos ""Maximum Recoverable Volume"" (MRV) et ""Minimum Effective Volume"" (MEV) par groupe musculaire ?",Choix unique,"N/A - débutant | Oui, déterminé empiriquement | Estimation approximative | Non, concepts inconnus","IF Q_PROFIL_03 IN ["">18 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN ["">18 mois"","">36 mois""]",VOLUME_LANDMARKS_KNOWLEDGE,0.80,Volume landmarks (Israetel et al. 2017 - Renaissance Periodization)
Q_STM_17,Stimulus,P8,SECONDARY,[INTERMÉDIAIRE+] Quelle est votre approche progression ?,Choix unique,N/A - débutant | Linear progression (ajout poids régulier) | Double progression (reps puis poids) | DUP (Daily Undulating) | Progression ondulatoire | Aucune méthode claire,"IF Q_PROFIL_03 IN [""6-12 mois"",""12-18 mois"",""18-36 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN [""6-12 mois"",""12-18 mois"",""18-36 mois"","">36 mois""]",PROGRESSION_METHOD,0.82,Progression schemes (Williams et al. 2017)
Q_STM_18,Stimulus,P8,SECONDARY,"[INTERMÉDIAIRE+] Incluez-vous du travail unilatéral (single-leg, single-arm) pour corriger asymétries ?",Choix unique,"N/A - débutant | Oui, systématiquement | Oui, occasionnellement | Rarement | Jamais","IF Q_PROFIL_03 IN [""12-18 mois"",""18-36 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN [""12-18 mois"",""18-36 mois"","">36 mois""]",UNILATERAL_TRAINING,0.70,Unilateral training benefits (Makaruk et al. 2011)
Q_STM_19,Stimulus,P8,SECONDARY,"[INTERMÉDIAIRE+] Faites-vous des tests de force réguliers (1RM, 3RM, 5RM) ?",Choix unique,"N/A - débutant | Oui, régulièrement (toutes 8-12 sem) | Oui, occasionnellement | Rarement | Jamais","IF Q_PROFIL_03 IN [""12-18 mois"",""18-36 mois"","">36 mois""]","IF Q_PROFIL_03 NOT IN [""12-18 mois"",""18-36 mois"","">36 mois""]",STRENGTH_TESTING,0.68,Testing protocols (Baechle & Earle 2008)
